index,carrier,meanDepDelay,meanArrDelay,crashed,canceled,airPlanesCount,meanSpeed,activeRoutes,flightsCount,Flightsmileage
0,9E,16.72576941,7.738195445,1044,71,203,5.752547793,77,17345,9222844
1,AA,8.586015642,0.926884806,636,34,600,6.948319342,25,32059,43064382
2,AS,5.804775281,-9.596910112,2,0,84,7.407653113,1,712,1710224
3,B6,13.02252211,9.759166559,466,32,193,6.661704828,55,54137,57933040
4,DL,9.264504512,1.986176853,349,15,629,6.969534585,55,47746,59119893
5,EV,19.95538983,16.22188835,2817,105,316,6.040625421,102,51251,28870410
6,F9,20.21554252,21.92070485,3,1,25,7.086201848,1,681,1103220
7,FL,18.72607468,20.48852562,73,6,129,6.564735433,3,3181,2115272
8,HA,4.900584795,-6.915204678,0,0,14,8.005961978,1,342,1704186
9,MQ,10.55204069,11.06675706,1234,87,237,6.134701122,24,25076,14307664
10,OO,12.5862069,11.93103448,3,0,28,6.105334746,5,29,14769
11,UA,12.10607289,3.945800815,686,63,620,7.011803442,53,57916,88725551
12,US,3.782418357,2.260558411,663,31,289,5.696752668,10,19842,11127314
13,VX,12.86942117,2.146479423,31,4,53,7.435838737,7,5127,12815036
14,WN,17.71174377,10.05035197,192,8,582,6.669803353,17,12075,12042607
15,YV,18.99633028,15.55698529,56,1,58,5.532833115,3,544,204782
